path,sha256,kind,api_version,namespace,name,parse_status,parse_error,spec_keys,test_nodes,risk_flags,shape_issues,placeholder_count
raw_yaml\DNSChaos\458a83803b313a15d477914f.yaml,e3a6d6a66370ab576947ea4a6c9c2a7982560e5b61e17ac12b0495d36b16a84d,DNSChaos,chaos-mesh.org/v1alpha1,chaos-demo,dns-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""selector""]","[""dns_error"", ""selector""]",[],[],0
raw_yaml\DNSChaos\49b7add7725d544cd7713dfb.yaml,4ae10844cc8c50bd8062c225cc494f204c61b8bc10bbc4b3aeac208c6d5be075,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-chaos-example,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\4a73c5187a35f4c915e51a46.yaml,73a79a65166be4246e949f9c1cc048b625b4a9d22b58e98413688e49e6ca19a4,DNSChaos,chaos-mesh.org/v1alpha1,,dns-random-serial,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\4e5692a5ce6faca081570ee5.yaml,3f1dea6cef37777189e4fabc0e209a02205327759144d77b0e90695b6047dfd5,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,signalgrid-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\583b8c328ec295d97806b267.yaml,039c278b1ef50b6c5a1f63242be05356e33cccb43ec1e9ba0151355b394036be,DNSChaos,chaos-mesh.org/v1alpha1,kafka-cluster,kafka-dns-random,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]",[],[],0
raw_yaml\DNSChaos\5d389fae3983c2a1df289110.yaml,04fce4e2867bdef828d3e7128af38e652db4fc840ceea308878e98ec7e5b58c2,DNSChaos,chaos-mesh.org/v1alpha1,,dns-delay,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\5d8d4bab546f6d7948e417a9.yaml,5fd653ce373d326ef27457e99750a633b0097535b85487d3adf10c5cb3ad4df0,DNSChaos,chaos-mesh.org/v1alpha1,default,dns-resolution-failure,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\60b0646c95ee8800993f8d7e.yaml,36d8e91dc39ccae7bed14ebeefa504e6ff3507ad3960a5389d2f007c9249fd50,DNSChaos,chaos-mesh.org/v1alpha1,mesh-system,dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector"", ""value""]","[""dns_error"", ""selector""]",[],[],0
raw_yaml\DNSChaos\689a044f67f8664344bbdeb5.yaml,6896b7ab7dc2fba03ebf8152eda3759c5d669ea7d41253fe85b36aeda4c2eb75,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,mssql-replica-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""selector""]","[""dns_error"", ""selector""]","[""cloud_instance""]",[],0
raw_yaml\DNSChaos\6eadf5bb845c08d6518ae6b4.yaml,80f6910f6ba35b083154d2a5bc90c515ed4c49b918ad8825285d4c9df292f276,DNSChaos,chaos-mesh.org/v1alpha1,estatewise,dns-error-experiment,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\7218de14880985378982ce42.yaml,4e2ed25a0200e91a1afdf92179aa589a223fc3577bfd2668183b5c0944fe74b9,DNSChaos,chaos-mesh.org/v1alpha1,govsecure,data-plane-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_error"", ""selector""]","[""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\742f92a62d542ea06eb8771e.yaml,5409d9744b2f8e69e250730d47dc2505d7772174be1c6ce3a37c572227e8b538,DNSChaos,chaos-mesh.org/v1alpha1,chaos-demo,dns-spoofing-experiment,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""records"", ""selector""]","[""dns_replace"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
